"dt","AverageTemperature","country"
"2012-09-01",14.302,"Luxembourg"
"2012-10-01",10.111,"Luxembourg"
"2012-11-01",6.236,"Luxembourg"
"2012-12-01",3.806,"Luxembourg"
"2012-01-01",16.185,"Mexico"
"2012-02-01",16.951,"Mexico"
"2012-03-01",19.947,"Mexico"
"2012-04-01",22.474,"Mexico"
"2012-05-01",24.957,"Mexico"
"2012-06-01",26.097,"Mexico"
"2012-07-01",25.298,"Mexico"
"2012-08-01",25.681,"Mexico"
"2012-09-01",24.224,"Mexico"
"2012-10-01",22.289,"Mexico"
"2012-11-01",19.107,"Mexico"
"2012-12-01",16.619,"Mexico"
"2012-01-01",-3.031,"Moldova"
"2012-02-01",-8.23,"Moldova"
"2012-03-01",3.85,"Moldova"
"2012-04-01",12.285,"Moldova"
"2012-05-01",18.411,"Moldova"
"2012-06-01",22.294,"Moldova"
"2012-07-01",25.231,"Moldova"
"2012-08-01",22.626,"Moldova"
"2012-09-01",18.386,"Moldova"
"2012-10-01",12.354,"Moldova"
"2012-11-01",6.005,"Moldova"
"2012-12-01",-3.13,"Moldova"
"2012-01-01",-0.78,"Montenegro"
"2012-02-01",-2.518,"Montenegro"
"2012-03-01",7.371,"Montenegro"
"2012-04-01",10.323,"Montenegro"
"2012-05-01",14.822,"Montenegro"
"2012-06-01",21.182,"Montenegro"
"2012-07-01",24.234,"Montenegro"
"2012-08-01",23.44,"Montenegro"
"2012-09-01",18.692,"Montenegro"
"2012-10-01",12.868,"Montenegro"
"2012-11-01",8.48,"Montenegro"
"2012-12-01",0.268,"Montenegro"
"2012-01-01",9.462,"Morocco"
"2012-02-01",9.324,"Morocco"
"2012-03-01",14.943,"Morocco"
"2012-04-01",15.681,"Morocco"
"2012-05-01",22.461,"Morocco"
"2012-06-01",25.535,"Morocco"
"2012-07-01",28.392,"Morocco"
"2012-08-01",28.125,"Morocco"
"2012-09-01",24.072,"Morocco"
"2012-10-01",19.978,"Morocco"
"2012-11-01",15.136,"Morocco"
"2012-12-01",10.916,"Morocco"
"2012-01-01",24.222,"Namibia"
"2012-02-01",22.96,"Namibia"
"2012-03-01",23.352,"Namibia"
"2012-04-01",20.599,"Namibia"
"2012-05-01",17.728,"Namibia"
"2012-06-01",14.933,"Namibia"
"2012-07-01",14.798,"Namibia"
"2012-08-01",17.847,"Namibia"
"2012-09-01",19.859,"Namibia"
"2012-10-01",22.795,"Namibia"
"2012-11-01",25.18,"Namibia"
"2012-12-01",25.267,"Namibia"
"2012-01-01",14.968,"New Zealand"
"2012-02-01",15.077,"New Zealand"
"2012-03-01",13.199,"New Zealand"
"2012-04-01",11.7,"New Zealand"
"2012-05-01",8.39,"New Zealand"
"2012-06-01",5.838,"New Zealand"
"2012-07-01",6.03,"New Zealand"
"2012-08-01",7.462,"New Zealand"
"2012-09-01",8.987,"New Zealand"
"2012-10-01",9.913,"New Zealand"
"2012-11-01",11.271,"New Zealand"
"2012-12-01",15.048,"New Zealand"
"2012-01-01",20.315,"Oman"
"2012-02-01",21.586,"Oman"
"2012-03-01",24.993,"Oman"
"2012-04-01",28.988,"Oman"
"2012-05-01",33.056,"Oman"
"2012-06-01",34.682,"Oman"
"2012-07-01",33.372,"Oman"
"2012-08-01",32.842,"Oman"
"2012-09-01",31.969,"Oman"
"2012-10-01",29.005,"Oman"
"2012-11-01",25.343,"Oman"
"2012-12-01",22.388,"Oman"
"2012-01-01",26.679,"Panama"
"2012-02-01",27.249,"Panama"
"2012-03-01",27.904,"Panama"
"2012-04-01",27.396,"Panama"
"2012-05-01",27.621,"Panama"
"2012-06-01",27.644,"Panama"
"2012-07-01",27.349,"Panama"
"2012-08-01",27.452,"Panama"
"2012-09-01",27.069,"Panama"
"2012-10-01",25.752,"Panama"
"2012-11-01",26.304,"Panama"
"2012-12-01",26.571,"Panama"
"2012-01-01",25.096,"Papua New Guinea"
"2012-02-01",25.368,"Papua New Guinea"
"2012-03-01",25.133,"Papua New Guinea"
"2012-04-01",24.83,"Papua New Guinea"
